label,task,arm,trial,criterion,verdict,evidence
"R05","news-draft","lore","1","NEWS-02","pass","El tono es neutral y no convierte pruebas o planes condicionados en adopción."
"R05","news-draft","lore","1","NEWS-03","pass","Atribuye comunicado, publicación del fundador y Mercado Digital con enlaces."
"R05","news-draft","lore","1","NEWS-04","pass","Conserva USD 1,24 millones y contextualiza las dos cifras discrepantes."
"R05","news-draft","lore","1","NEWS-05","pass","Explicita diferencias de comercios, monto y expansión sin inventar resolución."
"R05","news-draft","lore","1","NEWS-06","pass","Aporta contexto regional permitido y declara que no hay evidencia de impacto fuera de Colombia."
"R05","news-draft","lore","1","NEWS-07","pass","Incluye titular, bajada, apertura, subtítulo, enlaces, Fuente y Elementos SEO."
"R05","news-draft","lore","1","NEWS-08","pass","No añade hechos, prompts ni tics prohibidos."
"R06","founder-crm","lore","1","FOUNDER-01","pass","Incluye los ocho leads y completa todos los campos solicitados."
"R06","founder-crm","lore","1","FOUNDER-02","pass","Los primeros puestos combinan evidencia, ajuste, responsable y próxima acción."
"R06","founder-crm","lore","1","FOUNDER-03","pass","Usa etiquetas «Confirmado», «Inferencia», «Brecha» y «No usar»."
"R06","founder-crm","lore","1","FOUNDER-04","pass","Correo, formulario, portal, buzón y no contacto siguen las restricciones del dossier."
"R06","founder-crm","lore","1","FOUNDER-05","pass","Cada paso es concreto y proporcional a la certeza disponible."
"R06","founder-crm","lore","1","FOUNDER-06","pass","Diego recibe contexto de volumen y flujo; Paula, reverificación y prioridad 2026."
"R06","founder-crm","lore","1","FOUNDER-07","pass","Cada correo contiene fricción, piloto pagado y CTA de 20 minutos."
"R06","founder-crm","lore","1","FOUNDER-08","pass","Declara que la verificación funciona y que el trigger simulado se integra durante el piloto."
"R07","web-landing","lore","1","WEB-01","pass","Define hero, audiencia, resultado, alcance local y CTA concretos."
"R07","web-landing","lore","1","WEB-02","pass","Seis bloques especifican contenido, activos, copy y comportamiento."
"R07","web-landing","lore","1","WEB-03","pass","La demo representa lo disponible hoy y el bloque contiguo lista lo aún inexistente."
"R07","web-landing","lore","1","WEB-04","pass","Resuelve paleta, fuentes, materiales, layout, contraste y anti-patrones."
"R07","web-landing","lore","1","WEB-05","pass","La alineación breve tiene propósito y muestra estado final bajo reducción de movimiento."
"R07","web-landing","lore","1","WEB-06","pass","Hace visible que los archivos permanecen en el dispositivo durante el flujo alpha."
"R07","web-landing","lore","1","WEB-07","pass","Asigna a la próxima sesión página responsive, tres activos concretos y formulario."
"R07","web-landing","lore","1","WEB-08","pass","Presenta seis criterios verificables y no incluye código."
"R08","web-landing","lore","2","WEB-01","pass","El hero fija problema, propuesta, público, demo y acceso cerrado."
"R08","web-landing","lore","2","WEB-02","pass","Las seis secciones contienen mensaje, función, activos y acciones."
"R08","web-landing","lore","2","WEB-03","pass","Usa la demo real como prueba y enumera capacidades que no se presentan como actuales."
"R08","web-landing","lore","2","WEB-04","pass","La mesa editorial se traduce a paleta, tipografía, activos, jerarquía y móvil."
"R08","web-landing","lore","2","WEB-05","pass","La gramática de ordenar fragmentos ocurre una vez y tiene alternativa reducida."
"R08","web-landing","lore","2","WEB-06","pass","Declara flujo local y permanencia en dispositivo sin garantía absoluta."
"R08","web-landing","lore","2","WEB-07","pass","Ordena construir wireframe, ubicar activos, conectar CTA y aplicar decisiones fijadas."
"R08","web-landing","lore","2","WEB-08","pass","Incluye seis comprobaciones observables y no escribe código."
"R09","web-landing","cold","1","WEB-01","pass","La propuesta y hero nombran proyecto, audiencia, problema y conversión."
"R09","web-landing","cold","1","WEB-02","pass","Seis secciones resuelven copy, contenido, activos y acciones."
"R09","web-landing","cold","1","WEB-03","pass","La tabla separa de forma explícita lo disponible de lo aún no disponible."
"R09","web-landing","cold","1","WEB-04","pass","Fija estética, paleta, tipografía, materiales y prohibiciones implementables."
"R09","web-landing","cold","1","WEB-05","pass","Las transiciones orientan el flujo y se eliminan con `prefers-reduced-motion`."
"R09","web-landing","cold","1","WEB-06","pass","Comunica procesamiento local, elección de archivos y permanencia en dispositivo."
"R09","web-landing","cold","1","WEB-07","pass","La próxima sesión debe reunir seis activos e implementar una página responsive conectada."
"R09","web-landing","cold","1","WEB-08","pass","Incluye ocho criterios de aceptación y no contiene código."
"R10","news-draft","cold","2","NEWS-01","pass","Redacta una nota propia sin replicar bloques de las fuentes."
"R10","news-draft","cold","2","NEWS-02","pass","Mantiene cautela sobre México, comercios activos e impacto regional."
"R10","news-draft","cold","2","NEWS-03","fail","Atribuye al comunicado que «la inversión acompañará el desarrollo de su propuesta de pagos», afirmación ausente de esa fuente."
"R10","news-draft","cold","2","NEWS-04","pass","Separa USD 1,24, USD 1,3 y USD 1,2 y mantiene la cifra exacta principal."
"R10","news-draft","cold","2","NEWS-05","pass","Contrasta explícitamente las tres fuentes sobre monto, México y comercios."
"R10","news-draft","cold","2","NEWS-06","pass","Contextualiza stablecoins en la región sin atribuir impacto local a SendaPay."
"R10","news-draft","cold","2","NEWS-07","fail","No incluye bajada en cursiva, subtítulos de cuerpo, enlaces ni línea Fuente."
"R10","news-draft","cold","2","NEWS-08","fail","Inventa un destino de la inversión ausente del paquete factual."
