label,task,arm,trial,criterion,verdict,evidence
"R03","founder-crm","lore","1","FOUNDER-02","pass","Prioriza Centro Diagnóstico Sur y Boreal por dolor confirmado, señal de integración y contacto funcional, y relega organizaciones grandes sin evidencia."
"R03","founder-crm","lore","1","FOUNDER-03","pass","Distingue con etiquetas «Confirmado», «Inferencia», «Brecha» y «No usar» los diferentes niveles de evidencia."
"R03","founder-crm","lore","1","FOUNDER-04","pass","Usa correos nominales para los dos leads listos, formulario o portal cuando corresponde y evita soporte o canales no autorizados."
"R03","founder-crm","lore","1","FOUNDER-05","pass","Las acciones escalan desde contacto directo hasta calificación, vigilancia o no contacto según la evidencia disponible."
"R03","founder-crm","lore","1","FOUNDER-06","pass","Personaliza a Diego con los 18.000 certificados y el flujo externo, y a Paula con la reverificación priorizada para 2026."
"R03","founder-crm","lore","1","FOUNDER-07","pass","Ambos correos contienen el problema verificable, un piloto pagado de seis semanas y una pregunta breve de evaluación."
"R03","founder-crm","lore","1","FOUNDER-08","fail","Ofrece integración del emisor y presenta la verificación como capacidad, pero no declara que la conexión automática al evento de emisión aún usa un trigger simulado y requiere integración institucional."
"R04","community-b2b","cold","2","CM-01","pass","Entrega tres Alternative, dos First-comment CTAs y una Visual direction, todo en inglés."
"R04","community-b2b","cold","2","CM-02","pass","«while keeping your brand in the flow» mantiene el producto del partner como experiencia visible."
"R04","community-b2b","cold","2","CM-03","pass","Convierte API y acciones en «adding utility does not always require teaching users a new interface»."
"R04","community-b2b","cold","2","CM-04","pass","Usa «60+ blockchain networks» y «12,480 wallet actions were completed» con unidad exacta."
"R04","community-b2b","cold","2","CM-05","pass","No aparecen Meridian Bank, proyecciones, alianzas pendientes ni cash-out."
"R04","community-b2b","cold","2","CM-06","pass","La voz es concreta y funcional; no contiene hype, FOMO ni retorno financiero."
"R04","community-b2b","cold","2","CM-07","pass","Cada alternativa desarrolla la familiaridad de interfaz como idea única; los CTA ofrecen un enlace o una reflexión breve."
"R04","community-b2b","cold","2","CM-08","pass","Describe un mockup conversacional permitido y explicita «Avoid bank logos, user-growth claims, or unapproved cash-out features»."
"R05","community-b2b","cold","1","CM-01","pass","Contiene exactamente tres alternativas, dos CTA y una dirección visual en inglés."
"R05","community-b2b","cold","1","CM-02","pass","«while keeping the partner’s brand in the user-facing flow» centra la experiencia del partner."
"R05","community-b2b","cold","1","CM-03","pass","Relaciona white-label API, acciones y redes con no aprender «a new wallet interface»."
"R05","community-b2b","cold","1","CM-04","pass","Conserva «60+ blockchain networks» y «12,480 wallet actions» sin llamarlas usuarios."
"R05","community-b2b","cold","1","CM-05","pass","No filtra nombres, forecast, LOI ni roadmap internos."
"R05","community-b2b","cold","1","CM-06","pass","El tono es sobrio y de producto, sin claims de categoría o promesas financieras."
"R05","community-b2b","cold","1","CM-07","pass","Cada copy converge en reducir fricción y los CTA ofrecen explorar o ver encaje en el journey."
"R05","community-b2b","cold","1","CM-08","pass","La dirección usa el material visual autorizado, mantiene al partner visible y no ordena generar una imagen."
"R06","founder-crm","cold","1","FOUNDER-01","pass","La tabla contiene los ocho leads y completa prioridad, estado, evidencia, canal, siguiente acción y justificación."
"R06","founder-crm","cold","1","FOUNDER-02","pass","Los dos primeros combinan volumen o dolor explícito con contactos funcionales; tamaño o afinidad sin compra quedan abajo."
"R06","founder-crm","cold","1","FOUNDER-03","pass","Separa hechos de límites con fórmulas como «no está confirmada», «no hay señal», «no documenta» y «sin bases», sin convertir hipótesis en evidencia."
"R06","founder-crm","cold","1","FOUNDER-04","pass","Asigna correo, portal, formulario, buzón, teléfono o no contacto de acuerdo con el canal realmente disponible."
"R06","founder-crm","cold","1","FOUNDER-05","pass","Propone contacto, monitoreo, calificación o espera en proporción al dolor y al acceso verificados."
"R06","founder-crm","cold","1","FOUNDER-06","pass","Los mensajes usan respectivamente el volumen y validación fuera de red de Centro Diagnóstico Sur y la prioridad 2026 de Boreal."
"R06","founder-crm","cold","1","FOUNDER-07","pass","Cada mensaje formula el problema, ofrece explícitamente el piloto pagado y termina en una solicitud de 20 minutos."
"R06","founder-crm","cold","1","FOUNDER-08","fail","Los mensajes incluyen integración con el emisor sin aclarar que el trigger automático de emisión sigue simulado y debe integrarse para cada institución."
"R07","community-b2b","lore","2","CM-01","pass","El review pack contiene 3 alternativas, 2 CTA y 1 Visual Direction, todos en inglés."
"R07","community-b2b","lore","2","CM-02","pass","«inside your own branded flow» y «keeping their own brand» hacen protagonista al producto del partner."
"R07","community-b2b","lore","2","CM-03","pass","Explica la consecuencia como acciones útiles dentro de una conversación familiar."
"R07","community-b2b","lore","2","CM-04","pass","Usa las cifras públicas y aclara expresamente «actions, not user accounts»."
"R07","community-b2b","lore","2","CM-05","pass","No cruza ningún dato privado del memo."
"R07","community-b2b","lore","2","CM-06","pass","Voz específica y contenida, sin FOMO, superlativos ni promesas financieras."
"R07","community-b2b","lore","2","CM-07","pass","Las alternativas sostienen una consecuencia central; un CTA enlaza y el otro formula una pregunta de tres opciones."
"R07","community-b2b","lore","2","CM-08","pass","Pide usar una pantalla real y mockup neutral, con Relay Pocket sólo como «subtle infrastructure cue»."
"R08","news-draft","lore","1","NEWS-01","pass","La pieza reorganiza el paquete con secciones propias y no replica bloques fuente."
"R08","news-draft","lore","1","NEWS-02","pass","«No permite concluir que 300 negocios usen actualmente la plataforma»."
"R08","news-draft","lore","1","NEWS-03","fail","Atribuye al comunicado que «los fondos acompañarán el desarrollo de su propuesta de pagos», uso de fondos que la Fuente A no contiene."
"R08","news-draft","lore","1","NEWS-04","pass","Privilegia «USD 1,24 millones» y presenta USD 1,3 como redondeo y USD 1,2 como cifra de la cobertura."
"R08","news-draft","lore","1","NEWS-05","pass","Explicita el conflicto entre «lanzará en México» y una expansión condicionada, además de la ambigüedad de los 300 comercios."
"R08","news-draft","lore","1","NEWS-06","pass","Sitúa las stablecoins en América Latina y declara que faltan cifras regionales e impacto fuera de Colombia."
"R08","news-draft","lore","1","NEWS-07","pass","Incluye la anatomía completa, línea Fuente y cinco Elementos SEO."
"R08","news-draft","lore","1","NEWS-08","fail","Inventa un destino de los fondos —«acompañarán el desarrollo de su propuesta de pagos»— ausente del universo permitido."
"R09","community-b2b","lore","1","CM-01","pass","Entrega exactamente 3 copies, 2 First-comment CTAs y 1 Visual direction en inglés."
"R09","community-b2b","lore","1","CM-02","pass","«in their own branded experience» y «partner experience should feel like the subject» fijan el marco B2B."
"R09","community-b2b","lore","1","CM-03","pass","Traduce las capacidades en «a more direct path to useful actions» sin salir de la conversación."
"R09","community-b2b","lore","1","CM-04","pass","Mantiene 60+ redes y 12,480 «wallet actions» con precisión y sin equivalerlas a adopción."
"R09","community-b2b","lore","1","CM-05","pass","No contiene nombres, acuerdos, proyecciones ni funcionalidades privadas."
"R09","community-b2b","lore","1","CM-06","pass","El lenguaje es humano y funcional, sin hype, FOMO o rendimiento financiero."
"R09","community-b2b","lore","1","CM-07","pass","Cada alternativa articula una sola tesis y ambos CTA son breves, uno respondible y otro de exploración."
"R09","community-b2b","lore","1","CM-08","pass","La composición usa pantalla conversacional y shell neutral permitidos; describe, no manda generar."
"R10","web-landing","cold","1","WEB-01","pass","Define «Tu proyecto ya existe...» con CTA de prueba cerrada y demo para artistas y gestores."
"R10","web-landing","cold","1","WEB-02","pass","Las seis secciones fijan función, titulares, copy, activos y CTA; no son sólo nombres."
"R10","web-landing","cold","1","WEB-03","pass","Incluye una tabla «Disponible en alpha 0.1 / Aún no disponible» y marca la demo como flujo actual."
"R10","web-landing","cold","1","WEB-04","pass","Fija paleta, tipografía, jerarquía, materiales reales y prohibiciones visuales implementables."
"R10","web-landing","cold","1","WEB-05","fail","No define ningún comportamiento de movimiento ni equivalente para reducción de movimiento."
"R10","web-landing","cold","1","WEB-06","pass","«Procesamiento local en tu dispositivo» y «Tú eliges qué archivos abrir», sin garantía absoluta."
"R10","web-landing","cold","1","WEB-07","fail","La salida termina en tono visual y no declara un siguiente paso de implementación para otra sesión."
"R10","web-landing","cold","1","WEB-08","fail","No contiene una lista de criterios de aceptación verificables; no escribe código."
"R11","web-landing","lore","2","WEB-01","pass","Hero específico: «Tu proyecto ya existe. Ordénalo para volver a usarlo» con demo y acceso cerrado."
"R11","web-landing","lore","2","WEB-02","pass","Ordena seis bloques y especifica trabajo, contenido y evidencia visual de cada uno."
"R11","web-landing","lore","2","WEB-03","pass","La demo alpha es «la prueba principal» y prohíbe presentar nube, colaboración, PDF, base de fondos, envíos o fecha como actuales."
"R11","web-landing","lore","2","WEB-04","pass","Define materiales, composición, paleta, tipografías, protagonismo y anti-patrones visuales."
"R11","web-landing","lore","2","WEB-05","pass","La gramática «ordenar fragmentos» tiene propósito, duración y equivalente directo bajo `prefers-reduced-motion`."
"R11","web-landing","lore","2","WEB-06","pass","«Tus archivos permanecen en tu dispositivo durante este flujo» sin superlativos de privacidad."
"R11","web-landing","lore","2","WEB-07","fail","Aunque la dirección es implementable, no cierra con un siguiente paso explícito asignable a otra sesión."
"R11","web-landing","lore","2","WEB-08","pass","Incluye seis criterios observables de aceptación y no contiene código."
"R12","web-landing","cold","2","WEB-01","pass","El hero fija audiencia, propuesta local, CTA de acceso y demo alpha."
"R12","web-landing","cold","2","WEB-02","pass","Ocho bloques detallan copy, contenido, activos y comportamiento."
"R12","web-landing","cold","2","WEB-03","pass","La demo enumera alcance actual y «Límites de mensaje» excluye capacidades futuras."
"R12","web-landing","cold","2","WEB-04","pass","Paleta, familias tipográficas, activos, layout y prohibiciones están resueltos para implementación."
"R12","web-landing","cold","2","WEB-05","fail","Sólo pide «aparición suave» y no define propósito ni equivalente para `prefers-reduced-motion`."
"R12","web-landing","cold","2","WEB-06","pass","Explica que los archivos permanecen en dispositivo y ordena evitar promesas de seguridad absolutas."
"R12","web-landing","cold","2","WEB-07","fail","No identifica el próximo paso concreto que debe ejecutar otra sesión."
"R12","web-landing","cold","2","WEB-08","fail","No presenta criterios de aceptación verificables; no escribe código."
"R13","founder-crm","lore","2","FOUNDER-01","pass","Registra los ocho leads con prioridad, estado explícito, evidencia, canal, acción y justificación."
"R13","founder-crm","lore","2","FOUNDER-02","pass","Centro Diagnóstico Sur y Boreal lideran por problema demostrado, responsable accesible y señal operativa; el prestigio no altera la cola."
"R13","founder-crm","lore","2","FOUNDER-03","pass","Marca por separado «Confirmado», «Inferencia», «Brecha» y «No usar» donde corresponde."
"R13","founder-crm","lore","2","FOUNDER-04","pass","Respeta correos directos, portal de proveedores, formulario institucional y la ausencia de canal B2B válido."
"R13","founder-crm","lore","2","FOUNDER-05","pass","Reserva el outreach para evidencia fuerte y asigna vigilancia, calificación o no contacto a los casos débiles."
"R13","founder-crm","lore","2","FOUNDER-06","pass","Los contactos citan hechos verificables propios de Diego y Paula, no una plantilla genérica."
"R13","founder-crm","lore","2","FOUNDER-07","pass","Ambos mensajes exponen fricción, piloto pagado de seis semanas y una única pregunta de bajo compromiso."
"R13","founder-crm","lore","2","FOUNDER-08","pass","Declara expresamente «La verificación ya funciona» y que «la integración del evento de emisión se realiza» o implementa para el flujo elegido, sin inventar capacidades."
"R14","founder-crm","cold","2","FOUNDER-01","pass","Incluye los ocho leads y todos los campos solicitados, con estados como listo, seguimiento, pendiente o no contactar."
"R14","founder-crm","cold","2","FOUNDER-02","pass","Prioriza evidencia operativa, ajuste y acceso; Red Sana queda séptima pese a ser la red más grande."
"R14","founder-crm","cold","2","FOUNDER-03","pass","Diferencia hechos confirmados de ausencias y datos no confirmados, y presenta los posibles casos de uso sólo como hipótesis."
"R14","founder-crm","cold","2","FOUNDER-04","pass","Los canales y formatos respetan los correos nominales, el proceso de compras y la prohibición de usar soporte como vía B2B."
"R14","founder-crm","cold","2","FOUNDER-05","pass","Cada acción es concreta y va desde enviar un correo hasta monitorear, descubrir o no contactar según la evidencia."
"R14","founder-crm","cold","2","FOUNDER-06","pass","Personaliza el primer contacto con los 18.000 certificados y el segundo con la prioridad de reverificación de Boreal."
"R14","founder-crm","cold","2","FOUNDER-07","pass","Los dos correos incluyen problema, piloto pagado de seis semanas y una pregunta breve como CTA."
"R14","founder-crm","cold","2","FOUNDER-08","fail","Presenta la integración del emisor dentro de la oferta sin revelar que la conexión automática al evento de emisión usa todavía un trigger simulado y debe integrarse por institución."
"R15","web-landing","lore","1","WEB-01","pass","Propuesta, bajada, público, CTA primario y demo quedan específicos en el primer bloque."
"R15","web-landing","lore","1","WEB-02","pass","Seis secciones fijan su función, contenido, activos y conducta responsive."
"R15","web-landing","lore","1","WEB-03","pass","La demo dice «disponible hoy» y el bloque contiguo enumera explícitamente lo que la alpha aún no hace."
"R15","web-landing","lore","1","WEB-04","pass","Resuelve paleta, tipografía, composición, uso de capturas, obra y estados accesibles."
"R15","web-landing","lore","1","WEB-05","pass","La única gramática alinea fragmentos con propósito y muestra el estado final bajo `prefers-reduced-motion`."
"R15","web-landing","lore","1","WEB-06","pass","Visibiliza procesamiento local y permanencia en dispositivo sin prometer privacidad absoluta."
"R15","web-landing","lore","1","WEB-07","fail","La dirección y sus criterios están resueltos, pero no declara un siguiente paso concreto para la sesión implementadora."
"R15","web-landing","lore","1","WEB-08","pass","Cierra con seis condiciones verificables de revisión y no incluye código."
"R16","news-draft","cold","2","NEWS-01","pass","Redacta una nota propia en pirámide invertida sin copiar párrafos de las fuentes."
"R16","news-draft","cold","2","NEWS-02","pass","«La empresa no confirmó un lanzamiento» y «no permite medir el impacto... ni concluir que los comercios... continúen activos»."
"R16","news-draft","cold","2","NEWS-03","pass","Identifica el comunicado y la publicación del fundador al atribuir sus afirmaciones."
"R16","news-draft","cold","2","NEWS-04","pass","Conserva USD 1,24 y presenta USD 1,3 como diferencia que «parece responder a un redondeo», sin fusionarlas."
"R16","news-draft","cold","2","NEWS-05","fail","Omite por completo la Fuente C y, con ella, sus desacuerdos relevantes sobre USD 1,2, México y 300 comercios activos."
"R16","news-draft","cold","2","NEWS-06","pass","Usa únicamente el contexto regional permitido y niega inferencias de impacto fuera de Colombia."
"R16","news-draft","cold","2","NEWS-07","fail","No incluye bajada en cursiva, subtítulos, enlaces, línea Fuente ni bloque «Elementos SEO»."
"R16","news-draft","cold","2","NEWS-08","pass","No añade hechos fuera del paquete, no incluye prompts y evita los tics prohibidos."
